Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 4 Quartos à Venda, 116m²  ","Rua Silvestre Ferraz, 329 - Sagrada Família, Belo Horizonte - MG",116,   R$ 795.000   ,4,4,3
"  Apartamento com 3 Quartos à Venda, 69m²  ","Rua Alga Vermelha, 120 - Jardim Guanabara, Belo Horizonte - MG",69,   R$ 320.000   ,3,2,1
"  Apartamento com 2 Quartos à Venda, 45m²  ","Rua Rúbia Mara Barbosa, 45 - Diamante (Barreiro), Belo Horizonte - MG",45,   R$ 190.000   ,2,1,1
"  Apartamento com  Quarto à Venda, 40m²  ","Rua Antônio de Albuquerque, 335 - Savassi, Belo Horizonte - MG",40,   R$ 350.000   ,1,2,1
"  Apartamento com 3 Quartos à Venda, 83m²  ","Rua Gonçalves Figueira, 177 - Caiçaras, Belo Horizonte - MG",83,   R$ 399.999   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 74m²  ","Rua Pastor Achilles Barbosa - Palmares, Belo Horizonte - MG",74,   R$ 410.000   ,3,2,2
"  Apartamento com 4 Quartos à Venda, 270m²  ","Rua Minerva, 551 - Caiçara-Adelaide, Belo Horizonte - MG",270,   R$ 690.000   ,4,3,2
"  Apartamento com 3 Quartos à Venda, 72m²  ","Avenida Portugal, 5335 - Itapoã, Belo Horizonte - MG",72,   R$ 230.000   ,3,1,1
"  Apartamento com 3 Quartos à Venda, 70m²  ","Rua Dona Cidinha Stussi, 56 - Santa Amélia, Belo Horizonte - MG",70,   R$ 230.000   ,3,1,1
"  Apartamento com 3 Quartos à Venda, 68m²  ","Rua Shirley Regina das Chagas - Serrano, Belo Horizonte - MG",68,   R$ 369.000   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 60m²  ","Rua Martinica, 432 - Santa Branca, Belo Horizonte - MG",60,   R$ 260.000   ,3,2,1
"  Apartamento com 2 Quartos à Venda, 54m²  ","Rua dos Atleticanos, 1369 - Milionários (Barreiro), Belo Horizonte - MG",54,   R$ 280.000   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 97m²  ","Rua João Gusman, 55 - Jaqueline, Belo Horizonte - MG",97,   R$ 270.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 73m²  ","Avenida Guarapari - Santa Amélia, Belo Horizonte - MG",73,   R$ 275.000   ,3,2,1
"  Apartamento com 2 Quartos à Venda, 70m²  ","Avenida Prudente de Morais, 70 - Cidade Jardim, Belo Horizonte - MG",70,   R$ 680.000   ,2,2,2
"  Apartamento com 4 Quartos à Venda, 145m²  ","Santo Antônio, Belo Horizonte - MG",145,   R$ 1.195.000   ,4,3,3
"  Apartamento com 2 Quartos à Venda, 85m²  ","Rua Flor-de-orquídea - Santa Rosa, Belo Horizonte - MG",85,   R$ 354.900   ,2,2,3
