Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com  Quarto à Venda, 61m²  ","Rua Castro Alves - Independência, Porto Alegre - RS",61,   R$ 620.000   ,1,2,2
"  Apartamento com 3 Quartos à Venda, 105m²  ","Rua Casemiro de Abreu - Bela Vista, Porto Alegre - RS",105,   R$ 375.000   ,3,3,1
"  Apartamento com  Quarto à Venda, 40m²  ","Rua Marquês do Pombal, 1490 - Moinhos de Vento, Porto Alegre - RS",40,   R$ 239.000   ,1,1,  --     
"  Apartamento com 2 Quartos à Venda, 91m²  ","Avenida Itaqui, 181 - Petrópolis, Porto Alegre - RS",91,   R$ 320.000   ,2,2,2
"  Apartamento com 2 Quartos à Venda, 91m²  ","Avenida Luiz Manoel Gonzaga, 470 - Três Figueiras, Porto Alegre - RS",91,   R$ 779.999   ,2,2,1
"  Apartamento com 3 Quartos à Venda, 125m²  ","Rua Faria Santos, 687 - Petrópolis, Porto Alegre - RS",125,   R$ 1.350.000   ,3,3,2
"  Apartamento com  Quarto à Venda, 55m²  ","Rua Vigário José Inácio, 506 - Centro Histórico, Porto Alegre - RS",55,   R$ 198.000   ,1,1,  --     
"  Apartamento com 3 Quartos à Venda, 98m²  ","São João, Porto Alegre - RS",98,   R$ 450.000   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 66m²  ","Rua Felizardo Furtado, 235 - Petrópolis, Porto Alegre - RS",66,   R$ 570.500   ,3,2,2
"  Apartamento com 4 Quartos à Venda, 160m²  ","Rua Coronel Bordini - Auxiliadora, Porto Alegre - RS",160,   R$ 1.300.000   ,4,4,2
"  Apartamento com 3 Quartos à Venda, 115m²  ","Rua Anita Garibaldi, 1775 - Mont Serrat, Porto Alegre - RS",115,   R$ 748.000   ,3,3,2
"  Apartamento com  Quarto à Venda, 28m²  ","Rua Duque de Caxias, 1525 - Centro Histórico, Porto Alegre - RS",28,   R$ 150.000   ,1,1,  --     
